Est Dia in M(min),Est Dia in M(max),Epoch Date Close Approach,Relative Velocity km per sec,Miss Dist.(lunar),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
127.2198785394,284.4722965033,788947200.0,6.1158343887,163.1787109375,5,0.0252819,4.634,2458000.5,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,609.599786407648,0.808258932678493,57.25746987539545,2.005763672747459,2458161.6417204863,264.8375332988031,0.5905513880204395,True
146.0679642714,326.6178974458,788947200.0,18.1139850263,148.9926300049,3,0.186935,5.457,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,425.8692942066788,0.7181996160227876,313.0919748302692,1.497352292852652,2457794.969431285,173.7411119891742,0.8453297875598617,False
231.5021222103,517.6544821978,789552000.0,7.5907111617,19.8218898773,0,0.0430579,4.557,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,643.580228077368,0.950790956866954,248.4150381128607,1.966856672082667,2458120.4675489054,292.8936537794408,0.5593708201314143,True
8.801465209,19.6806745089,790156800.0,11.1738744976,110.9903869629,6,0.0055118,5.093,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,514.0821403654488,0.9839015669723666,18.70770087172089,1.527904212254787,2457902.3374338527,68.74100661777578,0.7002771964497434,False
127.2198785394,284.4722965033,790156800.0,9.8408310539,158.6467132568,1,0.034798,5.154,2458000.5,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,495.597820944911,0.9676866361064762,158.2635960713293,1.483542837130177,2457814.455148689,135.1421326756292,0.7263954456329549,True
133.2155666981,297.8790627982,790761600.0,12.8996097219,59.0524330139,0,0.0169065,6.623,2458000.5,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,299.5351607368495,0.3930396461624395,253.7659371965322,1.359211087430526,2457900.7702821824,119.8613823033982,1.201862242530755,True
88.0146520901,196.8067450894,790761600.0,22.4213663146,78.2045516968,6,0.000317965,7.033,2458000.5,0.4758194774081156,0.8138767249034949,23.18568668072357,117.1112240445536,268.18616502096,0.4266183269852852,220.9403707579688,1.201135122821705,2457996.3603927726,5.556806412851552,1.342351123786957,False
121.4940407996,271.6689340891,793440000.0,28.4189542612,18.8825950623,1,0.0128745,6.152,2453548.5,0.8684189074961081,0.9067337425159876,4.035074270183858,342.7842082321538,315.3683407722336,0.1193090164503963,322.3904957839119,1.694158468581579,2453597.57543235,303.9792986106828,1.141522319959188,True
44.1118199997,98.6370281305,793440000.0,17.5649076525,168.8450469971,1,0.0453154,6.298,2458000.5,0.3973810059711997,0.9403258403908948,11.6076647207195,195.3700872141465,333.0550192934602,0.5666582119956471,315.2418743196193,1.313993468786142,2458097.4673558557,255.1877435084699,1.080902491016951,False
146.0679642714,326.6178974458,793440000.0,19.223165458,39.696723938,4,0.0140066,5.149,2458000.5,0.2494248827236086,1.183993437388868,35.2402424959676,149.1565598893367,470.5679773704998,0.8886760131226273,55.21650962102305,1.479310861655108,2457816.1554508256,141.0296511750646,0.7650329332047928,True
